,feature name,feature value,min,1q,median,3q,max,mean,sd,n (nearest 5),kfold
0,stroke_severity_arrival,0.0,-51.71698380836053,27.079596125520766,30.51543243941851,33.13612389917601,52.374142679776995,29.6758231595536,6.272946714248987,7335,0
1,stroke_severity_arrival,1.0,13.676617855001242,41.24071215212811,44.59373268272728,48.50455481353798,70.23484441421925,44.85877309293921,5.32146514293695,7590,0
2,stroke_severity_arrival,2.0,-2.750323015395552,36.32191931896901,39.74576013918035,41.89512479804981,64.49922070489731,39.07716438535388,4.425350930674707,9470,0
3,stroke_severity_arrival,3.0,-28.062788432189265,27.07722502288292,30.012773260022513,32.2822763373208,80.16110327539965,28.249815042647214,7.328535179243458,8320,0
4,stroke_severity_arrival,4.0,-4.636005024104379,28.64238721934613,30.451488185888156,32.09781132659584,56.45147296515759,30.376626734175577,3.621417940843772,6675,0
5,stroke_severity_arrival,5.0,9.135243333606049,22.65502929485403,24.05239249867387,25.537919870465995,47.81925479939208,24.23337434019021,2.890326654246159,5090,0
6,stroke_severity_arrival,6.0,-7.574384340492543,15.638835636119476,17.580083977100436,19.21595623980509,41.0660054543009,17.25056908465937,3.6578699335597236,4170,0
7,stroke_severity_arrival,7.0,-33.25335145702818,5.45654718881473,7.936661413097754,10.625078960789832,37.95063465699553,7.830566758885733,4.990583660893529,3210,0
8,stroke_severity_arrival,8.0,-39.88282825188478,-3.5973462623456722,-0.6087414049915969,3.3612042700726303,36.73373735534958,-0.26144305684673425,5.847583558832162,2660,0
9,stroke_severity_arrival,9.0,-67.46034110195004,-15.43963545868639,-11.590422641076147,-7.18190113666933,28.35065332974773,-11.046259806092372,7.049368192558166,2195,0
10,stroke_severity_arrival,10.0,-63.340847515305505,-26.37245423790766,-20.891969302797225,-15.086938092410564,28.24016455436591,-20.83547950182558,9.241657356483195,1825,0
11,stroke_severity_arrival,11.0,-64.79049226935953,-33.17973056558636,-27.192664536031664,-19.898227783425245,34.41314321994781,-26.063626402392252,10.454864253690097,1670,0
12,stroke_severity_arrival,12.0,-66.44082856566645,-42.535486235001585,-36.065647163973196,-28.819321946797427,24.33310758151114,-35.045115544742195,10.664633084549836,1400,0
13,stroke_severity_arrival,13.0,-100.46769299049862,-56.005096045616085,-49.317059726910664,-39.92200065687764,9.938667538538574,-46.942203135194255,12.643036094939342,1360,0
14,stroke_severity_arrival,14.0,-83.31061233190121,-67.69880427222989,-59.99930019454798,-49.891014779252586,7.94650466039544,-58.030057316250904,12.74025152803029,1230,0
15,stroke_severity_arrival,15.0,-147.41752694762545,-75.9741753855627,-67.56567359281937,-55.722763756904754,-7.487668027398176,-65.712950324478,14.256552923073485,1135,0
16,stroke_severity_arrival,16.0,-118.41231351987925,-83.47044794630493,-75.01061946723843,-63.20019151970977,-2.174286336489022,-72.57140889951992,15.536320417302777,1090,0
17,stroke_severity_arrival,17.0,-123.25984907642938,-96.74444401549641,-86.00035600310191,-70.68710714382469,18.649298719940706,-82.87348176224494,18.05118209398832,1200,0
18,stroke_severity_arrival,18.0,-142.62448365463644,-107.33685501284431,-98.15389766995796,-85.82609648256097,24.597229017401116,-95.3660500479163,16.966307536491023,1115,0
19,stroke_severity_arrival,19.0,-145.49043776360807,-116.28650267368532,-106.21462286883965,-94.57396818054664,-18.926088039446622,-104.09455035850158,17.289683052463975,1100,0
20,stroke_severity_arrival,20.0,-169.64888310646637,-128.7432614487526,-118.82345423180377,-101.76374950484839,-11.07755310326349,-114.46216986482361,19.00520123408464,965,0
21,stroke_severity_arrival,21.0,-160.22504696994088,-133.4872145278775,-125.21700880019577,-111.53684742737212,-31.13722294784384,-121.08295802034716,16.931400577011736,920,0
22,stroke_severity_arrival,22.0,-163.3666960299155,-137.49748114123008,-128.25404993755626,-115.36157002118766,-39.735335890159476,-124.4621775456216,17.85478180702615,870,0
23,stroke_severity_arrival,23.0,-167.76949583240085,-141.77902367841045,-133.8198455411033,-120.59780396575574,-61.25987371396273,-129.66148944843553,16.526308230211438,755,0
