subgroup,control count (nearest 5),divided_by_feature,divided_by_value,post_365d_days_at_home,post_365d_days_at_home,post_365d_days_at_home,post_365d_days_at_home_CONTROL,post_365d_days_at_home_CONTROL,post_365d_days_at_home_CONTROL,post_365d_days_dead,post_365d_days_dead,post_365d_days_dead,post_365d_days_dead_CONTROL,post_365d_days_dead_CONTROL,post_365d_days_dead_CONTROL,post_365d_days_in_care,post_365d_days_in_care,post_365d_days_in_care,post_365d_days_in_care_CONTROL,post_365d_days_in_care_CONTROL,post_365d_days_in_care_CONTROL,stroke count (nearest 5),stroke_additional_post_365d_days_at_home,stroke_additional_post_365d_days_at_home,stroke_additional_post_365d_days_at_home,stroke_additional_post_365d_days_dead,stroke_additional_post_365d_days_dead,stroke_additional_post_365d_days_dead,stroke_additional_post_365d_days_in_care,stroke_additional_post_365d_days_in_care,stroke_additional_post_365d_days_in_care
,,,,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,,mean,median,std,mean,median,std,mean,median,std
total,236680,None,None,266.375604716897,346.5,138.561266520733,352.799762127082,365,50.79705286736,75.421546300717,0,135.686752270706,9.75987510615554,0,48.0042523881605,23.2028489823856,10,32.6693408339706,2.44036276676201,0,10.2086220133975,236680,-86.424157410185,-15.5,143.470613638943,65.6616711945615,0,140.423048109463,20.7624862156236,8.5,34.0931722174414
60-80 year olds,116240,AGE_GRP,60-80 year olds,280.653930196746,350,129.067276775185,358.312888739773,365,36.7040503701718,61.1937354289795,0,125.567588560726,4.88125532299275,0,34.1078024547666,23.1523343742741,9,33.0248488647849,1.80585593723385,0,9.04579182972768,116240,-77.658958543027,-13,133.650846936075,56.3124801059867,0,129.713681561807,21.3464784370403,8,34.1947264844662
over 80s,71960,AGE_GRP,over 80s,204.789713586904,296,156.940422121209,336.522762962242,365,75.9505703894034,134.624591781431,0,157.868710439125,23.728637140594,0,72.7649466385821,25.5856946316653,15.5,28.4253209614118,4.74859989716366,0,13.4694348819598,71960,-131.733049375339,-54,172.595617687956,110.895954640837,0,172.139536780548,20.8370947345016,13,31.3903812555409
under 60s,48480,AGE_GRP,under 60s,323.551246880221,359,88.5625989343981,363.740650976671,365,14.8060392394137,21.6615787628143,0,80.6673302062128,0.723706194179163,0,13.1751685728839,19.7871743569646,5.5,37.0956369987682,0.535642829149564,0,5.54986101495325,48480,-40.1894040964502,-6,89.8717885524548,20.9378725686351,0,81.8214681990883,19.251531527815,5,37.488080462313
F,110620,S1GENDER,F,253.365090126738,339.5,144.696160133032,351.316546437418,365,53.616872466204,87.9025148704598,0,143.24239047635,11.0157925186672,0,50.9426981106923,23.7323950028023,11,31.2806250749295,2.66766104391532,0,10.3914890523858,110620,-97.9514563106796,-21.5,150.116029116137,76.8867223517926,0,148.401892140894,21.064733958887,10,32.8407066527568
M,126060,S1GENDER,M,277.792870798594,351,131.89210186902,354.101345401756,365,48.1493873214949,64.4689788115089,0,127.690937729499,8.65775549544261,0,45.2402758083479,22.7381503898968,9,33.8343785443993,2.24089910280107,0,10.0412100644347,126060,-76.308474603162,-12,136.575835714498,55.8112233160663,0,132.245610734941,20.4972512870957,7.5,35.1535119463289
Asian or Asian British,12160,ETH5,Asian or Asian British,290.45013155731,351.5,121.430579081724,359.210902812038,365,35.4636470233897,51.748149975333,0,117.289930025986,4.43841473441868,0,33.5534708491119,22.8017184673573,9.5,33.2511339292407,1.35068245354383,0,7.19458505076992,12160,-68.7607712547278,-12.5,124.783994342777,47.3097352409143,0,120.494216451601,21.4510360138135,9,33.9719710767967
"Black, Black British, Caribbean or African",6550,ETH5,"Black, Black British, Caribbean or African",286.975496183206,346,118.643624835147,359.407633587786,365,34.5896579494831,47.4862595419847,0,111.989636885699,4.17175572519084,0,32.1889837148152,30.5382442748092,13.75,43.4239957465665,1.4206106870229,0,8.32403406220513,6550,-72.4321374045802,-17.5,121.244873286988,43.3145038167939,0,114.558388557026,29.1176335877863,13,44.2169750039923
Mixed or multiple ethnic groups,1645,ETH5,Mixed or multiple ethnic groups,285.297749391728,349,122.744470806701,357.467761557178,365,39.71262634264,52.5103406326034,0,116.827058810205,5.84549878345499,0,37.2675571999787,27.1919099756691,11,37.8687325144849,1.6867396593674,0,7.83940570168907,1645,-72.1700121654501,-14.5,122.590412140892,46.6648418491484,0,116.730887159124,25.5051703163017,10,38.5341357000822
Other ethnic group,2085,ETH5,Other ethnic group,281.901246404602,350.75,127.576158016963,357.495925215724,365,41.8082250428058,57.7857142857143,0,123.173853492978,6.00239693192713,0,39.4879636703072,25.3130393096836,10,37.4644681246282,1.50167785234899,0,8.34847288919015,2085,-75.5946788111218,-13,132.008297738859,51.7833173537872,0,126.934183099202,23.8113614573346,9,38.2937091886033
Unknown,955,ETH5,Unknown,206.036610878661,319,167.4712813346,358.346757322176,365,41.7419685342943,140.894351464435,0,166.486615123202,6.26464435146444,0,40.7256437342581,18.0690376569038,6.5,26.5224876139097,0.388598326359833,0,3.48983351014654,955,-152.310146443515,-43,169.606485699052,134.629707112971,0,168.663247365427,17.6804393305439,6,26.7693292539673
White,213285,ETH5,White,264.342934035999,346,139.857361200196,352.124475462179,365,52.089028826944,77.6849913026355,0,137.099366541367,10.3175217902974,0,49.2406236438809,22.9720746613654,10,32.1482934640644,2.55800274752324,0,10.4506121605529,213285,-87.7815414261802,-16,145.05166750476,67.3674695123381,0,142.118787139811,20.4140719138422,8.5,33.6517191604652
0,36165,IMD_2019_QUINTILES,1,271.294716800533,346.5,134.324808861679,350.612035833771,365,55.5868867684788,69.3484747596654,0,131.064228106197,11.6643625404374,0,52.6043950902845,24.3568084398019,10.5,34.21945278067,2.72360162579147,0,10.585273788169,48060,,,,,,,,,
1,43160,IMD_2019_QUINTILES,2,267.528088568134,346,137.273816063027,352.169605412544,365,52.3368185934201,73.5370457360038,0,134.316606680227,10.25878727496,0,49.4072414133426,23.934865695862,10,33.6932136641527,2.57160731249566,0,10.6754141163453,46835,,,,,,,,,
2,49690,IMD_2019_QUINTILES,3,265.756012998841,346.5,139.067103870337,352.998973677856,365,50.2963262198947,76.1959554562014,0,136.244285562606,9.62032117845931,0,47.5551216769268,23.0480315449578,10,32.616491847087,2.3807051436851,0,10.0709491521812,48310,,,,,,,,,
3,53370,IMD_2019_QUINTILES,4,263.697104815629,346.5,140.681586556242,353.26123332334,365,49.3687771651294,78.6862997220955,0,137.993313953416,9.30548268625394,0,46.6289435364043,22.6165954622755,9.5,31.7573629808415,2.43328399040624,0,10.285675966728,48220,,,,,,,,,
4,54295,IMD_2019_QUINTILES,5,263.474690116883,347,141.321373218883,354.122046228935,365,47.9199981645297,79.515433394463,0,138.559362501746,8.66903029744912,0,45.2861789278677,22.0098764886542,9,30.8134380319388,2.20892347361636,0,9.59878142799971,45260,,,,,,,,,
minor (NIHSS 1-4),98240,S2NIHSSARRIVAL,minor (NIHSS 1-4),314.211170830025,358,100.94869478002,354.426764592113,365,47.3453617236964,34.329454997048,0,94.5506824520836,8.35843563590464,0,44.5815030733932,16.459374172927,6,26.0613374888676,2.21479977198233,0,9.7962428356154,98240,-40.215593762088,-5.5,108.510589002872,25.9710193611433,0,102.193836428213,14.2445744009446,5,27.5586993691845
